ticker,company_name,year,market_cap,category,sector,industry,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
531266,VST Tillers Tractors Limited,1967,"₹4,334 Cr",Small Cap,Industrials,Farm & Heavy Construction Machinery,"₹5,022",4.34%,"₹2,875","₹5,410",74.68%,-7.17%,"₹4,530","₹4,148","₹4,152",4.34%,10.58%,12.24%,32.75%,29.90%,25.60%,111.14%,215.54%,10611,2254,1732,1961,1239,441.03%,14.90%,-11.70%,756.29%,81.85%,39.75%,58.27%,5.4,"₹4,813",47,107,107,
AWHCL,Antony Waste Handling Cell Ltd,2001,"₹1,637 Cr",Small Cap,Industrials,Waste Management,₹577,-3.60%,₹460,₹859,25.51%,-32.87%,₹617,₹632,₹596,-3.60%,-2.97%,-10.59%,-2.00%,0.16%,-22.50%,80.49%,,91935,96793,69957,99633,111746,-7.73%,-2.85%,-29.78%,-17.73%,-13.38%,-37.40%,-10.84%,0.9,₹599,19,30,30,
FIEMIND,Fiem Industries Ltd,1989,"₹4,744 Cr",Small Cap,Consumer Cyclical,Auto Parts,"₹1,803",-0.62%,"₹1,255","₹2,055",43.61%,-12.29%,"₹1,937","₹1,916","₹1,593",-0.62%,-3.94%,-6.51%,11.43%,30.73%,36.73%,134.97%,627.25%,17997,26087,56578,79513,62133,-77.37%,-67.19%,-28.84%,-71.03%,-58.01%,-8.94%,27.97%,0.2,"₹1,814",23,78,78,
MPSLTD,Mps Ltd,1970,"₹4,034 Cr",Small Cap,Communication Services,Publishing,"₹2,378",1.74%,"₹1,754","₹3,079",35.56%,-22.77%,"₹2,426","₹2,577","₹2,426",1.74%,2.97%,-16.78%,-8.55%,-10.88%,12.12%,242.04%,438.25%,25656,17991,44262,27624,35112,-7.12%,-34.87%,60.23%,-26.93%,-48.76%,26.06%,-21.33%,0.9,"₹2,337",26,93,93,
KSCL,Kaveri Seed Company Ltd,1986,"₹5,621 Cr",Mid Cap,Basic Materials,Agricultural Inputs,"₹1,100",0.17%,₹804,"₹1,602",36.80%,-31.34%,"₹1,112","₹1,203","₹1,125",0.00%,0.79%,-2.07%,-18.47%,16.38%,-1.37%,133.60%,82.19%,53639,79990,111126,172306,271672,-68.87%,-53.58%,-35.51%,-80.26%,-70.56%,-59.10%,-36.58%,0.3,"₹1,098",20,55,55,
LGBBROSLTD,LG Balakrishnan & Bros Ltd,1956,"₹4,012 Cr",Small Cap,Consumer Cyclical,Auto Parts,"₹1,258",0.93%,"₹1,081","₹1,575",16.37%,-20.12%,"₹1,278","₹1,274","₹1,264",0.93%,0.69%,-2.80%,-4.86%,-1.63%,-2.65%,70.95%,454.31%,11477,10798,21741,21606,23958,-46.88%,-50.03%,0.62%,-52.10%,-54.93%,-9.25%,-9.82%,0.5,"₹1,246",13,96,96,
530073,Sanghvi Movers Ltd,1989,"₹2,840 Cr",Small Cap,Industrials,Rental & Leasing Services,₹328,0.03%,₹205,₹476,59.98%,-31.07%,₹273,₹281,₹285,0.03%,20.99%,20.75%,-0.46%,32.02%,-23.60%,161.31%,813.51%,121334,302927,73909,63074,60697,92.37%,380.27%,17.18%,99.90%,399.08%,21.77%,3.92%,1.9,₹328,17,19,19,
517206,Lumax Industries Ltd,1981,"₹3,124 Cr",Small Cap,Consumer Cyclical,Auto Parts,"₹3,330",-0.33%,"₹2,006","₹4,150",66.04%,-19.76%,"₹3,775","₹3,513","₹2,702",-0.33%,-14.28%,-6.02%,28.18%,42.71%,22.67%,131.89%,139.35%,1014,3472,1927,1666,1059,-39.15%,108.38%,15.62%,-4.22%,227.98%,81.98%,57.40%,0.6,"₹3,341",22,152,152,
519183,ADF Foods Ltd,1990,"₹2,514 Cr",Small Cap,Consumer Defensive,Packaged Foods,₹229,-0.09%,₹202,₹353,13.19%,-35.13%,₹256,₹266,₹264,-0.09%,-1.38%,-11.60%,2.12%,-8.65%,1.40%,60.63%,183.12%,2791,10254,11938,45121,33371,-93.91%,-77.61%,-72.98%,-91.70%,-69.27%,-64.23%,35.21%,0.1,₹229,36,6,6,
GULFOILLUB,Gulf Oil Lubricants India Ltd,2008,"₹5,711 Cr",Mid Cap,Basic Materials,Specialty Chemicals,"₹1,156",-1.48%,₹911,"₹1,514",26.89%,-23.62%,"₹1,206","₹1,214","₹1,166",-1.48%,-1.44%,-5.83%,-6.65%,-1.09%,-13.48%,157.43%,80.74%,80855,46374,60735,106521,109872,-24.09%,-56.46%,-42.98%,-26.41%,-57.79%,-44.72%,-3.05%,0.8,"₹1,173",16,72,72,
JKIL,J Kumar Infraprojects Ltd,1999,"₹5,017 Cr",Mid Cap,Industrials,Engineering & Construction,₹663,-1.41%,₹578,₹904,14.71%,-26.65%,₹713,₹719,₹712,-1.41%,-6.61%,-7.08%,-5.16%,-6.48%,-21.48%,108.90%,554.22%,240526,222107,183730,165325,172523,45.49%,34.35%,11.13%,39.42%,28.74%,6.50%,-4.17%,1.5,₹673,12,54,54,
SANGHIIND,Sanghi Industries Ltd,1985,"₹1,697 Cr",Small Cap,Basic Materials,Building Materials,₹66,-0.05%,₹51,₹95,29.89%,-30.90%,₹67,₹65,₹64,-0.05%,-2.09%,-0.05%,7.14%,16.61%,-26.11%,42.36%,164.92%,80275,140868,271961,269558,406031,-70.22%,-47.74%,0.89%,-80.23%,-65.31%,-33.02%,-33.61%,0.3,₹66,,-19,-19,
507717,Dhanuka Agritech Ltd,1985,"₹7,428 Cr",Mid Cap,Basic Materials,Agricultural Inputs,"₹1,651",0.77%,"₹1,092","₹1,960",51.25%,-15.77%,"₹1,718","₹1,698","₹1,492",0.77%,2.21%,2.28%,13.73%,14.93%,-8.22%,140.27%,107.70%,2422,5144,7966,5707,5054,-57.56%,-9.87%,39.59%,-52.08%,1.76%,57.61%,12.91%,0.4,"₹1,638",25,67,67,
IPL,India Pesticides Ltd,1984,"₹2,510 Cr",Small Cap,Basic Materials,Agricultural Inputs,₹218,-4.81%,₹120,₹244,81.99%,-10.65%,₹222,₹216,₹176,-4.81%,-0.35%,6.01%,31.57%,51.57%,4.30%,-22.99%,,762033,2183073,1058290,944821,647777,-19.35%,131.06%,12.01%,17.64%,237.01%,63.37%,45.86%,0.8,₹229,31,7,7,
501423,Shaily Engineering Plastics Ltd,1980,"₹8,100 Cr",Mid Cap,Basic Materials,Specialty Chemicals,"₹1,775",6.31%,₹872,"₹2,071",103.63%,-14.29%,"₹1,627","₹1,677","₹1,577",6.31%,6.38%,10.57%,6.41%,18.12%,94.04%,360.94%,1479.46%,83596,12878,5712,6623,7449,1162.28%,94.46%,-13.75%,1022.18%,72.88%,-23.32%,-11.10%,12.6,"₹1,670",88,20,20,
505010,Automotive Axles Ltd,1981,"₹2,469 Cr",Small Cap,Consumer Cyclical,Auto Parts,"₹1,635",-0.64%,"₹1,533","₹2,107",6.64%,-22.40%,"₹1,807","₹1,801","₹1,742",-0.64%,-10.16%,-9.22%,-2.90%,-10.63%,-12.96%,-17.25%,168.01%,846,955,1308,978,891,-13.53%,-2.39%,33.69%,-5.06%,7.17%,46.78%,9.79%,0.9,"₹1,646",16,104,104,
509243,TVS Srichakra Ltd,1982,"₹2,144 Cr",Small Cap,Consumer Cyclical,Auto Parts,"₹2,790",-1.64%,"₹2,430","₹4,900",14.82%,-43.07%,"₹3,032","₹3,054","₹3,104",-1.64%,-4.86%,-13.45%,-7.07%,-7.93%,-32.28%,28.30%,93.58%,7112,258,354,769,725,825.18%,-66.50%,-53.90%,881.29%,-64.47%,-51.10%,6.06%,9.3,"₹2,836",104,27,27,
540124,GNA Axles Ltd,1993,"₹1,307 Cr",Small Cap,Consumer Cyclical,Auto Parts,₹304,1.59%,₹270,₹494,12.49%,-38.56%,₹317,₹320,₹350,1.59%,1.08%,-6.72%,-9.87%,-10.94%,-25.92%,-5.95%,202.80%,585,2506,4104,4452,6060,-86.86%,-43.71%,-7.83%,-90.35%,-58.65%,-32.29%,-26.54%,0.1,₹299,13,24,24,
ADANIGREEN,Adani Green Energy Ltd,2015,"₹151,041 Cr",Large Cap,Utilities,Utilities - Renewable,₹931,0.19%,₹758,"₹2,091",22.81%,-55.48%,₹993,₹997,"₹1,013",0.19%,-4.20%,-9.26%,-3.82%,-1.62%,-49.01%,-58.03%,160.32%,1096445,1924673,2119861,2360962,3780175,-53.56%,-18.48%,-10.21%,-70.99%,-49.09%,-43.92%,-37.54%,0.5,₹929,93,10,10,
ESCORTS,Escorts Kubota Ltd,1944,"₹36,974 Cr",Large Cap,Industrials,Farm & Heavy Construction Machinery,"₹3,377",0.27%,"₹2,776","₹4,420",21.62%,-23.61%,"₹3,399","₹3,336","₹3,323",0.27%,0.70%,3.44%,-4.71%,7.89%,-8.84%,83.26%,206.78%,22397,34009,101877,144248,145517,-84.47%,-76.42%,-29.37%,-84.61%,-76.63%,-29.99%,-0.87%,0.2,"₹3,368",16,215,215,
NHPC,NHPC Ltd,1975,"₹84,258 Cr",Large Cap,Utilities,Utilities - Renewable,₹84,0.46%,₹71,₹101,18.07%,-16.59%,₹85,₹86,₹82,0.46%,-1.64%,-5.58%,-3.59%,12.69%,-11.87%,142.99%,305.96%,5967656,6854842,8702071,13672855,17161539,-56.35%,-49.87%,-36.36%,-65.23%,-60.06%,-49.29%,-20.33%,0.4,₹83,28,3,3,
530643,Eco Recycling Ltd,1994,"₹1,173 Cr",Small Cap,Industrials,Waste Management,₹608,1.42%,₹502,"₹1,215",21.05%,-49.97%,₹632,₹618,₹717,1.42%,-1.01%,-0.78%,-2.66%,-10.90%,-29.41%,485.65%,993.35%,10530,18801,54201,32027,24643,-67.12%,-41.30%,69.23%,-57.27%,-23.70%,119.94%,29.97%,0.3,₹599,50,12,12,
530449,Rungta Irrigation Ltd,1986,₹125 Cr,Micro Cap,Industrials,Farm & Heavy Construction Machinery,₹63,2.61%,₹57,₹96,10.67%,-34.31%,₹64,₹65,₹71,2.61%,-1.49%,-5.83%,-8.75%,-10.73%,-34.31%,259.89%,334.64%,1657,923,740,1558,1937,6.38%,-40.76%,-52.51%,-14.44%,-52.36%,-61.80%,-19.58%,1.1,₹61,20,3,3,
537785,Race Eco Chain Ltd,1999,₹412 Cr,Micro Cap,Industrials,Waste Management,₹236,0.02%,₹226,₹455,4.56%,-48.07%,₹240,₹245,₹291,0.02%,-0.76%,1.59%,-14.37%,-21.43%,-44.29%,44.00%,266.64%,83,1567,2217,1427,1667,-94.18%,9.81%,55.38%,-95.02%,-6.00%,33.02%,-14.39%,0.1,₹236,,,,
500219,Jain Irrigation Systems Ltd,1986,"₹3,160 Cr",Small Cap,Industrials,Conglomerates,₹46,-0.75%,₹45,₹83,2.61%,-44.40%,₹51,₹56,₹62,-0.75%,-3.38%,-14.15%,-17.10%,-28.80%,-30.29%,29.26%,295.73%,93230,282861,205900,294009,292218,-68.29%,-3.79%,-29.97%,-68.10%,-3.20%,-29.54%,0.61%,0.3,₹47,97,0,0,
543664,Kaynes Technology India Ltd,2008,"₹37,206 Cr",Large Cap,Industrials,Specialty Industrial Machinery,"₹5,808",-0.78%,"₹3,835","₹7,825",51.44%,-25.78%,"₹5,861","₹5,855","₹5,652",-0.78%,-8.13%,-3.56%,-7.80%,42.02%,23.62%,,,11745,11012,44346,44271,42195,-73.47%,-75.13%,0.17%,-72.17%,-73.90%,5.10%,4.92%,0.3,"₹5,854",118,49,49,
BSOFT,Birlasoft Ltd,1990,"₹10,230 Cr",Mid Cap,Technology,Information Technology Services,₹372,-0.39%,₹331,₹689,12.34%,-46.04%,₹401,₹415,₹466,-0.39%,-3.67%,-11.17%,-13.16%,-26.27%,-34.26%,10.70%,144.72%,962898,935482,1491902,1848375,1898706,-47.91%,-49.39%,-19.29%,-49.29%,-50.73%,-21.43%,-2.65%,0.5,₹373,7,15,15,
COFORGE,Coforge Ltd,1992,"₹10,050 Cr",Mid Cap,Technology,Information Technology Services,"₹1,623",0.58%,"₹1,153","₹2,005",40.76%,-19.05%,"₹1,738","₹1,804","₹1,682",1.02%,-4.89%,-13.42%,-4.07%,0.24%,38.80%,112.11%,,1170688,1926609,1975572,1512768,1179331,-22.61%,27.36%,30.59%,-0.73%,63.36%,67.52%,28.27%,0.8,"₹1,614",55,30,30,
SYRMA,Syrma SGS Technology Ltd,2004,"₹12,001 Cr",Mid Cap,Technology,Electronic Components,₹675,-5.98%,₹370,₹781,82.43%,-13.52%,₹719,₹629,₹546,-5.98%,-5.90%,-0.95%,27.45%,40.04%,67.89%,,,1957141,1144733,1686810,1592501,1397905,22.90%,-28.12%,5.92%,40.01%,-18.11%,20.67%,13.92%,1.2,₹718,60,11,11,
VIJAYA,Vijaya Diagnostic Centre Ltd,2002,"₹10,868 Cr",Mid Cap,Healthcare,Diagnostics & Research,"₹1,058",0.76%,₹740,"₹1,275",42.97%,-17.02%,"₹1,062","₹1,011","₹1,032",0.76%,0.57%,3.68%,18.72%,-1.90%,26.57%,197.78%,,44992,138377,529285,338698,897781,-86.72%,-59.14%,56.27%,-94.99%,-84.59%,-41.05%,-62.27%,0.1,"₹1,050",72,15,15,
AVALON,Avalon Technologies Ltd,1999,"₹5,856 Cr",Mid Cap,Technology,Electronic Components,₹879,-1.62%,₹451,"₹1,074",95.04%,-18.14%,₹864,₹851,₹820,-1.62%,2.74%,0.06%,1.41%,32.33%,91.18%,,,183000,1298802,453399,365063,416978,-49.87%,255.77%,24.20%,-56.11%,211.48%,8.73%,-12.45%,0.5,₹893,74,12,12,
543626,Electronics Mart India Ltd,2018,"₹4,683 Cr",Small Cap,Consumer Cyclical,Specialty Retail,₹122,1.97%,₹110,₹248,10.73%,-50.79%,₹130,₹136,₹143,1.97%,3.97%,-13.03%,-9.41%,-11.09%,-46.70%,,,48171,71392,59301,189609,121839,-74.59%,-62.35%,-68.72%,-60.46%,-41.40%,-51.33%,55.62%,0.3,₹119,43,3,3,
541556,Rites Ltd,1974,"₹11,914 Cr",Mid Cap,Industrials,Engineering & Construction,₹248,-1.02%,₹192,₹384,28.76%,-35.50%,₹264,₹277,₹259,-1.02%,-3.88%,-11.24%,-0.28%,12.55%,-25.90%,79.49%,99.39%,19911,54807,55423,241911,178490,-91.77%,-77.34%,-77.09%,-88.84%,-69.29%,-68.95%,35.53%,0.1,₹250,34,7,7,
539524,Dr. Lal PathLabs Ltd,1995,"₹26,995 Cr",Large Cap,Healthcare,Diagnostics & Research,"₹3,254",1.05%,"₹2,295","₹3,645",41.76%,-10.74%,"₹3,084","₹2,952","₹2,835",1.05%,1.93%,12.33%,16.56%,19.99%,-0.29%,30.85%,74.95%,3254,2408,3769,4570,8043,-28.79%,-47.32%,-17.52%,-59.54%,-70.07%,-53.14%,-43.18%,0.7,"₹3,220",53,62,62,
RAILTEL,Railtel Corporation of India Ltd,2000,"₹11,137 Cr",Mid Cap,Communication Services,Telecom Services,₹347,-1.62%,₹266,₹517,30.70%,-32.85%,₹382,₹408,₹371,-1.62%,-5.33%,-15.35%,-4.16%,5.84%,-26.65%,247.52%,,717869,979091,1330943,3909739,3766731,-81.64%,-74.96%,-65.96%,-80.94%,-74.01%,-64.67%,3.80%,0.2,₹353,35,10,10,
534816,Indus Towers Ltd,2006,"₹89,266 Cr",Large Cap,Communication Services,Telecom Services,₹339,0.40%,₹313,₹461,8.33%,-26.48%,₹376,₹392,₹365,0.40%,-1.20%,-16.18%,-14.64%,-2.71%,-16.50%,72.98%,70.12%,54202,97075,96659,122084,151801,-55.60%,-20.49%,-20.83%,-64.29%,-36.05%,-36.33%,-19.58%,0.4,₹337,,,,
MAXHEALTH,Max Healthcare Institute Ltd,2001,"₹123,190 Cr",Large Cap,Healthcare,Medical Care Facilities,"₹1,263",-0.06%,₹837,"₹1,314",50.91%,-3.94%,"₹1,255","₹1,238","₹1,129",-0.06%,-0.68%,1.03%,6.41%,23.78%,45.40%,218.13%,,740292,1111539,1576306,1915452,2168362,-61.35%,-41.97%,-17.71%,-65.86%,-48.74%,-27.30%,-11.66%,0.4,"₹1,263",115,11,11,
542650,Metropolis Healthcare Ltd,2000,"₹10,874 Cr",Mid Cap,Healthcare,Diagnostics & Research,"₹2,094",2.50%,"₹1,384","₹2,307",51.30%,-9.24%,"₹1,990","₹1,845","₹1,827",2.50%,1.87%,11.45%,28.78%,17.48%,4.05%,44.69%,25.31%,4814,3811,7835,8973,6154,-46.35%,-57.52%,-12.68%,-21.77%,-38.07%,27.32%,45.80%,0.5,"₹2,043",71,29,29,
543654,Global Health Ltd,2004,"₹37,060 Cr",Large Cap,Healthcare,Medical Care Facilities,"₹1,377",-0.75%,₹936,"₹1,456",47.07%,-5.44%,"₹1,332","₹1,248","₹1,175",-0.75%,3.65%,3.76%,10.73%,23.32%,26.94%,,,6821,53751,21006,19885,16308,-65.70%,170.31%,5.64%,-58.17%,229.59%,28.81%,21.93%,0.3,"₹1,387",69,20,20,
500850,Indian Hotels Company Ltd,1902,"₹106,518 Cr",Large Cap,Consumer Cyclical,Lodging,₹748,0.18%,₹599,₹894,24.78%,-16.35%,₹749,₹754,₹780,0.18%,0.19%,2.76%,-2.11%,0.07%,22.48%,171.51%,724.33%,35376,124603,152628,103605,106256,-65.85%,20.27%,47.32%,-66.71%,17.27%,43.64%,-2.49%,0.3,₹747,54,14,14,
TATACOMM,Tata Communications Ltd,1986,"₹46,484 Cr",Large Cap,Communication Services,Telecom Services,"₹1,631",-2.04%,"₹1,291","₹2,175",26.34%,-25.01%,"₹1,711","₹1,711","₹1,652",-2.04%,-3.56%,-4.81%,0.98%,6.93%,-11.81%,50.52%,100.52%,211374,219429,459514,467281,494613,-54.77%,-53.04%,-1.66%,-57.26%,-55.64%,-7.10%,-5.53%,0.5,"₹1,665",27,59,59,
532843,Fortis Healthcare Ltd,1996,"₹70,286 Cr",Large Cap,Healthcare,Medical Care Facilities,₹932,1.17%,₹481,₹936,93.57%,-0.43%,₹844,₹800,₹698,1.17%,7.40%,19.04%,33.09%,51.36%,80.08%,219.02%,585.97%,76627,115779,53956,45463,43288,68.55%,154.67%,18.68%,77.02%,167.46%,24.64%,5.02%,1.7,₹921,81,12,12,
CAMS,Computer Age Management Services Ltd,1988,"₹18,703 Cr",Mid Cap,Technology,Information Technology Services,"₹3,776",-0.58%,"₹3,031","₹5,368",24.58%,-29.65%,"₹3,976","₹4,100","₹4,109",-0.58%,-1.06%,-8.52%,1.33%,11.77%,-8.44%,56.81%,,249739,298123,373510,468364,493458,-46.68%,-36.35%,-20.25%,-49.39%,-39.58%,-24.31%,-5.09%,0.5,"₹3,798",40,95,95,
KIMS,Krishna Institute Of Medical Sciencs Ltd,1973,"₹29,610 Cr",Large Cap,Healthcare,Medical Care Facilities,₹737,1.45%,₹437,₹798,68.49%,-7.69%,₹748,₹703,₹633,1.45%,-0.49%,3.76%,14.49%,22.01%,65.77%,200.37%,,310378,987386,678458,604520,692862,-48.66%,63.33%,12.23%,-55.20%,42.51%,-2.08%,-12.75%,0.5,₹727,78,9,9,
HCLTECH,HCL Technologies Ltd,1991,"₹405,938 Cr",Mega Cap,Technology,Information Technology Services,"₹1,498",0.67%,"₹1,303","₹2,012",14.99%,-25.55%,"₹1,500","₹1,613","₹1,689",0.67%,2.38%,-7.52%,-11.67%,-13.07%,-5.94%,56.33%,111.25%,3422656,2368777,3778481,2862364,3022798,19.57%,-17.24%,32.01%,13.23%,-21.64%,25.00%,-5.31%,1.2,"₹1,488",24,63,63,
500840,EIH Ltd,1949,"₹22,826 Cr",Large Cap,Consumer Cyclical,Lodging,₹364,1.29%,₹293,₹441,24.04%,-17.46%,₹376,₹370,₹373,0.97%,-1.86%,-3.11%,0.00%,2.93%,-3.05%,133.26%,394.16%,4436,14149,14487,19626,22035,-77.40%,-27.91%,-26.18%,-79.87%,-35.79%,-34.25%,-10.93%,0.2,₹359,33,11,11,
INFY,Infosys Ltd,1981,"₹6,803 Cr",Mid Cap,Technology,Information Technology Services,"₹1,426",-0.17%,"₹1,307","₹2,006",9.09%,-28.94%,"₹1,513","₹1,567","₹1,693",-0.17%,-2.36%,-9.20%,-11.61%,-23.98%,-20.68%,-10.69%,49.52%,9899184,9406303,8245433,7210795,7838431,37.28%,30.45%,14.35%,26.29%,20.00%,5.19%,-8.01%,1.4,"₹1,428",22,66,66,
DATAMATICS,Datamatics Global Services Ltd,1987,"₹6,269 Cr",Mid Cap,Technology,Information Technology Services,"₹1,060",4.23%,₹515,"₹1,120",105.81%,-5.36%,₹917,₹749,₹649,4.23%,0.69%,44.03%,60.56%,67.11%,85.75%,253.10%,1605.55%,343799,628288,1125246,518929,337221,-33.75%,21.07%,116.84%,1.95%,86.31%,233.68%,53.88%,0.7,"₹1,017",30,36,36,
LATENTVIEW,Latent View Analytics Ltd,2006,"₹8,195 Cr",Mid Cap,Industrials,Consulting Services,₹396,1.89%,₹341,₹528,16.06%,-24.93%,₹417,₹417,₹424,1.89%,-2.64%,-7.49%,-6.48%,-6.93%,-16.34%,9.89%,,120963,111854,482182,486246,480210,-75.12%,-77.00%,-0.84%,-74.81%,-76.71%,0.41%,1.26%,0.2,₹389,44,9,9,
532173,Cybertech Systems and Software Ltd,1995,₹496 Cr,Micro Cap,Technology,Information Technology Services,₹159,9.68%,₹118,₹293,34.36%,-45.71%,₹160,₹164,₹178,9.68%,9.19%,-4.64%,1.43%,-14.57%,-8.90%,-1.73%,192.56%,22080,9487,9030,6630,7481,233.03%,43.10%,26.83%,195.16%,26.82%,20.72%,-11.37%,3.3,₹145,14,11,11,
500413,Thomas Cook (India) Ltd,1978,"₹7,312 Cr",Mid Cap,Consumer Cyclical,Travel Services,₹158,2.77%,₹118,₹239,33.74%,-34.04%,₹167,₹166,₹163,2.77%,5.12%,-4.10%,8.26%,20.43%,-22.02%,125.16%,335.72%,90809,47097,155025,113639,95346,-20.09%,-58.56%,36.42%,-4.76%,-50.60%,62.59%,19.19%,0.8,₹154,29,5,5,
500173,GFL Ltd,1987,₹680 Cr,Small Cap,Financial Services,Asset Management,₹62,-0.16%,₹47,₹126,30.88%,-50.73%,₹63,₹64,₹70,-0.16%,-0.74%,-3.47%,14.54%,-6.53%,-17.27%,-18.74%,-31.86%,1061,3361,6491,10979,11436,-90.34%,-69.39%,-40.88%,-90.72%,-70.61%,-43.24%,-4.00%,0.1,₹62,7,123,123,
NELCO,Nelco Ltd,1940,"₹1,911 Cr",Small Cap,Technology,Communication Equipment,₹838,-1.58%,₹707,"₹1,503",18.47%,-44.27%,₹864,₹946,₹984,-1.58%,-1.00%,-7.43%,-6.15%,-10.14%,-6.49%,24.64%,293.38%,399003,159077,120709,193403,163368,106.31%,-17.75%,-37.59%,144.24%,-2.63%,-26.11%,18.38%,2.1,₹851,282,3,3,
IRIS,Iris Business Services Ltd,2000,₹743 Cr,Small Cap,Technology,Software - Application,₹357,-1.04%,₹228,₹577,56.54%,-38.13%,₹375,₹328,₹375,-1.04%,-3.81%,-11.24%,24.96%,-13.51%,43.63%,302.25%,,13289,20206,20548,42295,30417,-68.58%,-52.23%,-51.42%,-56.31%,-33.57%,-32.44%,39.05%,0.3,₹361,56,6,6,
506109,Genesys International Corporation Ltd,1997,"₹2,483 Cr",Small Cap,Technology,Software - Application,₹599,0.20%,₹524,"₹1,055",14.38%,-43.17%,₹604,₹637,₹754,0.20%,3.19%,-8.71%,-14.33%,-26.17%,-11.85%,1.80%,1406.03%,6686,15782,13358,13879,18456,-51.82%,13.72%,-3.75%,-63.77%,-14.49%,-27.62%,-24.80%,0.5,₹598,43,14,14,
JMA,Jullundur Motor Agency (Delhi) Ltd,1998,₹212 Cr,Micro Cap,Consumer Cyclical,Auto Parts,₹93,6.65%,₹64,₹121,44.63%,-23.14%,₹92,₹94,₹92,7.70%,4.02%,-1.24%,-1.63%,5.19%,-14.72%,34.39%,268.32%,7235,8896,8658,16447,27195,-56.01%,-45.91%,-47.36%,-73.40%,-67.29%,-68.16%,-39.52%,0.4,₹87,8,11,11,
534758,Cigniti Technologies Ltd,1998,"₹4,194 Cr",Small Cap,Technology,Information Technology Services,"₹1,525",0.48%,"₹1,074","₹1,981",42.03%,-22.99%,"₹1,652","₹1,696","₹1,562",0.48%,-5.41%,-13.66%,-3.22%,5.08%,12.43%,162.45%,440.62%,2012,3535,4302,3729,4546,-46.04%,-5.21%,15.37%,-55.74%,-22.25%,-5.37%,-17.98%,0.5,"₹1,518",15,68,68,
523710,Sayaji Hotels Ltd,1982,₹523 Cr,Small Cap,Consumer Cyclical,Lodging,₹299,6.21%,₹240,₹410,24.38%,-27.19%,₹295,₹291,₹300,6.21%,-0.45%,-1.81%,8.15%,-0.38%,-23.45%,19.52%,82.18%,634,138,430,469,592,35.12%,-70.59%,-8.46%,7.01%,-76.71%,-27.50%,-20.80%,1.4,₹281,253,1,1,
509472,Cravatex Ltd,1951,₹125 Cr,Micro Cap,Consumer Cyclical,Leisure,₹485,1.68%,₹310,₹619,56.43%,-21.65%,₹483,₹460,₹414,1.68%,0.18%,5.11%,15.75%,26.91%,-4.14%,20.68%,72.60%,1186,881,6845,3481,2302,-65.93%,-74.70%,96.65%,-48.47%,-61.73%,197.40%,51.24%,0.3,₹477,26,19,19,
507960,Gujarat Hotels Ltd,1982,₹102 Cr,Micro Cap,Consumer Cyclical,Lodging,₹269,0.06%,₹201,₹375,34.06%,-28.27%,₹277,₹279,₹274,0.06%,-2.20%,-2.99%,-4.95%,-5.93%,16.98%,102.03%,212.61%,244,478,642,889,1303,-72.54%,-46.24%,-27.81%,-81.27%,-63.33%,-50.76%,-31.79%,0.3,₹269,19,14,14,
DELTACORP,Delta Corp Ltd,1990,"₹2,245 Cr",Small Cap,Consumer Cyclical,Resorts & Casinos,₹84,2.43%,₹77,₹142,9.59%,-40.91%,₹87,₹89,₹97,2.43%,1.55%,-5.60%,-10.00%,-12.67%,-33.01%,-57.24%,-26.82%,1121996,1012649,1469995,1192175,1560253,-5.89%,-15.06%,23.30%,-28.09%,-35.10%,-5.78%,-23.59%,0.9,₹82,9,10,10,
517035,RIR Power Electronics Ltd,1969,"₹1,954 Cr",Small Cap,Technology,Semiconductors,₹255,4.88%,₹141,₹488,79.99%,-47.81%,₹258,₹418,₹484,4.88%,12.56%,-10.12%,-34.26%,-45.32%,-38.51%,431.08%,3878.13%,452368,365316,193497,92530,61440,388.89%,294.81%,109.12%,636.27%,494.59%,214.94%,50.60%,4.9,₹243,266,1,1,
63MOONS,63 Moons Technologies Ltd,1988,"₹4,358 Cr",Small Cap,Technology,Software - Application,₹938,0.00%,₹318,"₹1,130",194.97%,-16.99%,"₹1,013",₹978,₹816,0.00%,-0.44%,-13.24%,20.25%,29.40%,183.64%,408.81%,1024.70%,157368,144044,181023,353352,273149,-55.46%,-59.23%,-48.77%,-42.39%,-47.27%,-33.73%,29.36%,0.4,₹938,,-9,-9,
OPTIEMUS,Optiemus Infracom Ltd,1993,"₹5,030 Cr",Mid Cap,Technology,Electronics & Computer Distribution,₹577,1.62%,₹378,₹874,52.46%,-33.97%,₹593,₹611,₹594,1.62%,-4.34%,-3.66%,5.74%,-2.91%,16.50%,116.10%,1680.86%,130083,99076,193873,458306,355092,-71.62%,-78.38%,-57.70%,-63.37%,-72.10%,-45.40%,29.07%,0.3,₹568,79,7,7,
