ticker,company_name,year,market_cap,category,sector,industry,price,ret_1d,low_52w,high_52w,from_low_pct,from_high_pct,sma_20d,sma_50d,sma_200d,ret_3d,ret_7d,ret_30d,ret_3m,ret_6m,ret_1y,ret_3y,ret_5y,volume_1d,volume_7d,volume_30d,volume_90d,volume_180d,vol_ratio_1d_90d,vol_ratio_7d_90d,vol_ratio_30d_90d,vol_ratio_1d_180d,vol_ratio_7d_180d,vol_ratio_30d_180d,vol_ratio_90d_180d,rvol,prev_close,pe,eps_current,eps_last_qtr,eps_change_pct
512070,UPL Ltd,1985,"₹65,319 Cr",Large Cap,Basic Materials,Chemicals,₹720,1.17%,₹484,₹736,48.84%,-2.11%,₹692,₹660,₹609,1.17%,-0.69%,5.90%,9.92%,13.09%,40.72%,0.29%,56.32%,62742,227455,117361,71580,61401,-12.35%,217.76%,63.96%,2.18%,270.44%,91.14%,16.58%,0.9,₹712,75,10,10,
531162,Emami Ltd,1983,"₹26,928 Cr",Large Cap,Consumer Defensive,Personal & Household Products & Services,₹618,1.15%,₹509,₹859,21.39%,-28.05%,₹586,₹579,₹593,1.15%,10.36%,7.33%,-0.15%,5.70%,-20.31%,35.87%,139.94%,11465,75313,25284,20003,19072,-42.68%,276.50%,26.40%,-39.89%,294.89%,32.57%,4.88%,0.6,₹611,33,19,18,1.41%
DBCORP,DB Corp Ltd,1995,"₹4,878 Cr",Small Cap,Consumer Cyclical,Media & Publishing,₹274,0.64%,₹189,₹380,44.78%,-27.88%,₹275,₹271,₹265,0.83%,1.39%,-2.42%,22.55%,4.19%,-13.67%,193.51%,269.37%,89050,83721,162822,184175,224465,-51.65%,-54.54%,-11.59%,-60.33%,-62.70%,-27.46%,-17.95%,0.5,₹272,15,19,19,
532482,Granules India Ltd,1991,"₹10,913 Cr",Mid Cap,Healthcare,Pharmaceuticals,₹450,-0.99%,₹412,₹725,9.21%,-37.89%,₹480,₹498,₹523,-0.99%,-8.22%,-8.78%,1.97%,-21.20%,-30.63%,43.33%,42.59%,25248,67901,38215,45723,46772,-44.78%,48.51%,-16.42%,-46.02%,45.17%,-18.29%,-2.24%,0.6,₹455,22,21,21,
500119,Dhampur Sugar Mills Ltd,1933,₹913 Cr,Small Cap,Consumer Defensive,Food & Tobacco,₹141,0.75%,₹109,₹234,29.40%,-39.81%,₹148,₹150,₹149,0.75%,-0.81%,-10.29%,17.52%,-4.96%,-28.06%,-38.05%,6.87%,6954,4839,10743,17768,22493,-60.86%,-72.77%,-39.54%,-69.08%,-78.49%,-52.24%,-21.01%,0.4,₹140,18,8,8,
512573,Avanti Feeds Ltd,1993,"₹9,101 Cr",Mid Cap,Consumer Defensive,Food & Tobacco,₹669,0.16%,₹542,₹965,23.52%,-30.67%,₹721,₹744,₹733,0.16%,-3.60%,-8.38%,-23.31%,-7.40%,4.64%,30.14%,37.91%,8426,32280,27128,33645,53096,-74.96%,-4.06%,-19.37%,-84.13%,-39.20%,-48.91%,-36.63%,0.3,₹668,18,25,25,
532175,Cyient Ltd,1991,"₹13,295 Cr",Mid Cap,Technology,Software & IT Services,"₹1,207",-0.26%,"₹1,050","₹2,156",14.97%,-44.01%,"₹1,261","₹1,296","₹1,469",-0.26%,-1.99%,-6.93%,2.54%,-16.49%,-28.90%,45.46%,255.17%,9050,139883,46439,30897,33840,-70.71%,352.75%,50.31%,-73.26%,313.37%,37.23%,-8.70%,0.3,"₹1,211",21,56,56,
504067,Zensar Technologies Ltd,1963,"₹18,223 Cr",Mid Cap,Technology,Software & IT Services,₹801,0.07%,₹559,₹985,43.43%,-18.68%,₹819,₹835,₹776,0.07%,-0.86%,-6.38%,11.13%,-9.51%,9.01%,250.49%,364.78%,6377,17926,31008,58115,59768,-89.03%,-69.15%,-46.64%,-89.33%,-70.01%,-48.12%,-2.76%,0.1,₹800,27,29,29,
526299,Mphasis Ltd,1992,"₹51,390 Cr",Large Cap,Technology,Software & IT Services,"₹2,703",-1.60%,"₹2,025","₹3,240",33.48%,-16.56%,"₹2,793","₹2,726","₹2,691",-1.25%,-2.77%,-6.13%,13.94%,-3.67%,2.48%,13.08%,132.24%,6666,9755,16402,12157,11150,-45.17%,-19.76%,34.92%,-40.22%,-12.52%,47.10%,9.03%,0.5,"₹2,747",30,91,91,
503811,Siyaram Silk Mills Ltd,1978,"₹2,793 Cr",Small Cap,Consumer Cyclical,Textiles & Apparel,₹616,0.37%,₹465,"₹1,175",32.47%,-47.58%,₹696,₹701,₹742,0.37%,-9.15%,-11.94%,-6.51%,-14.39%,23.50%,18.85%,320.41%,4052,13849,19725,12612,10827,-67.87%,9.81%,56.40%,-62.58%,27.91%,82.18%,16.49%,0.3,₹614,15,42,43,-3.50%
500101,Arvind Ltd,1931,"₹8,224 Cr",Mid Cap,Consumer Cyclical,Textiles & Apparel,₹314,-0.84%,₹272,₹450,15.60%,-30.31%,₹336,₹346,₹361,-0.84%,-5.45%,-9.33%,-17.63%,-10.02%,-18.91%,230.42%,932.57%,19927,33108,22179,25844,29477,-22.89%,28.11%,-14.18%,-32.40%,12.32%,-24.76%,-12.33%,0.8,₹317,22,14,13,3.93%
HEG,HEG Ltd,1972,"₹10,193 Cr",Mid Cap,Industrials,"Machinery, Equipment & Components",₹528,-0.45%,₹331,₹620,59.35%,-14.79%,₹528,₹515,₹466,-0.45%,0.48%,7.89%,21.00%,41.50%,32.53%,113.12%,235.68%,1090556,11605226,3455969,2092575,1992454,-47.88%,454.59%,65.15%,-45.27%,482.46%,73.45%,5.03%,0.5,₹530,52,10,6,70.97%
532610,Dwarikesh Sugar Industries Ltd,1993,₹797 Cr,Small Cap,Consumer Defensive,Food & Tobacco,₹43,-0.58%,₹33,₹80,29.45%,-46.81%,₹46,₹48,₹49,-0.58%,-3.06%,-13.34%,11.51%,-12.97%,-37.26%,-60.54%,68.23%,12447,43578,44755,72797,84233,-82.90%,-40.14%,-38.52%,-85.22%,-48.27%,-46.87%,-13.58%,0.2,₹43,34,1,1,
530759,Sterling Tools Ltd,1979,"₹1,185 Cr",Small Cap,Consumer Cyclical,Automobiles & Auto Parts,₹327,-1.10%,₹265,₹744,23.36%,-56.05%,₹355,₹353,₹426,-1.10%,-5.19%,-6.10%,9.38%,-30.63%,-9.32%,26.20%,83.76%,3277,10524,13492,22454,17137,-85.41%,-53.13%,-39.91%,-80.88%,-38.59%,-21.27%,31.02%,0.1,₹331,20,16,16,
MASTEK,Mastek Ltd,1982,"₹7,758 Cr",Mid Cap,Technology,Software & IT Services,"₹2,507",-0.58%,"₹1,887","₹3,375",32.83%,-25.73%,"₹2,523","₹2,457","₹2,578",-0.58%,2.17%,-2.52%,17.20%,-6.44%,-13.20%,24.12%,279.37%,53718,72463,351062,197187,291221,-72.76%,-63.25%,78.03%,-81.55%,-75.12%,20.55%,-32.29%,0.3,"₹2,521",20,127,127,
TECHM,Tech Mahindra Ltd,1986,"₹145,441 Cr",Large Cap,Technology,Software & IT Services,"₹1,483",0.54%,"₹1,209","₹1,808",22.62%,-17.96%,"₹1,531","₹1,595","₹1,599",0.54%,2.01%,-8.68%,-1.32%,-10.61%,-0.03%,40.36%,123.87%,2929677,1762721,2105905,2012322,2147460,45.59%,-12.40%,4.65%,36.43%,-17.92%,-1.94%,-6.29%,1.5,"₹1,475",29,51,51,
RAJESHEXPO,Rajesh Exports Ltd,1995,"₹5,606 Cr",Mid Cap,Consumer Cyclical,Textiles & Apparel,₹189,0.92%,₹151,₹310,25.21%,-38.88%,₹198,₹198,₹202,0.92%,-2.96%,-6.59%,4.23%,1.27%,-34.71%,-68.94%,-58.74%,519762,414224,520961,646799,1218512,-19.64%,-35.96%,-19.46%,-57.34%,-66.01%,-57.25%,-46.92%,0.8,₹187,91,2,2,
502986,Vardhman Textiles Ltd,1973,"₹12,055 Cr",Mid Cap,Consumer Cyclical,Textiles & Apparel,₹417,0.08%,₹363,₹569,15.07%,-26.67%,₹478,₹484,₹468,0.08%,-9.24%,-16.72%,-11.63%,-6.20%,-19.47%,31.44%,205.61%,8443,15713,41968,18564,20193,-54.52%,-15.36%,126.08%,-58.19%,-22.19%,107.84%,-8.07%,0.5,₹417,14,30,30,
LUMAXTECH,Lumax AutoTechnologies Ltd,1981,"₹8,206 Cr",Mid Cap,Consumer Cyclical,Automobiles & Auto Parts,"₹1,204",4.88%,₹449,"₹1,209",168.15%,-0.41%,"₹1,123","₹1,062",₹694,4.88%,12.25%,8.18%,112.61%,120.47%,115.19%,423.59%,1118.01%,202763,162145,113164,341255,224495,-40.58%,-52.49%,-66.84%,-9.68%,-27.77%,-49.59%,52.01%,0.6,"₹1,148",46,26,26,
APLLTD,Alembic Pharmaceuticals Ltd,2010,"₹18,566 Cr",Mid Cap,Healthcare,Pharmaceuticals,₹946,-2.19%,₹725,"₹1,304",30.45%,-27.45%,"₹1,002",₹991,₹963,-2.19%,-6.63%,-5.62%,4.86%,7.36%,-20.28%,42.52%,-10.00%,457562,136904,130671,415103,326800,10.23%,-67.02%,-68.52%,40.01%,-58.11%,-60.02%,27.02%,1.1,₹967,32,30,30,
505710,Grauer And Weil (India) Ltd,1957,"₹4,301 Cr",Small Cap,Basic Materials,Chemicals,₹95,-0.16%,₹78,₹120,21.60%,-20.96%,₹103,₹96,₹95,-0.16%,-6.55%,-7.69%,16.35%,-0.29%,11.69%,197.34%,397.12%,130147,170190,182399,286916,255033,-54.64%,-40.68%,-36.43%,-48.97%,-33.27%,-28.48%,12.50%,0.5,₹95,27,3,3,
JAGRAN,Jagran Prakashan Ltd,1975,"₹1,605 Cr",Small Cap,Consumer Cyclical,Media & Publishing,₹73,-2.00%,₹65,₹111,12.17%,-34.54%,₹73,₹73,₹76,-2.00%,1.12%,1.11%,4.38%,-5.37%,-21.73%,16.49%,92.66%,207857,263233,216000,317693,322237,-34.57%,-17.14%,-32.01%,-35.50%,-18.31%,-32.97%,-1.41%,0.7,₹74,12,6,6,
530007,JK Tyre & Industries Ltd,1951,"₹8,954 Cr",Mid Cap,Consumer Cyclical,Automobiles & Auto Parts,₹327,-1.12%,₹232,₹453,41.05%,-27.80%,₹353,₹362,₹342,-1.12%,-4.85%,-11.94%,0.82%,4.21%,-19.00%,152.61%,398.47%,10839,19751,37870,90664,83767,-88.04%,-78.21%,-58.23%,-87.06%,-76.42%,-54.79%,8.23%,0.1,₹330,18,18,18,
UNIPARTS,Uniparts India Ltd,1994,"₹1,571 Cr",Small Cap,Industrials,"Machinery, Equipment & Components",₹348,-0.51%,₹297,₹522,17.26%,-33.34%,₹380,₹378,₹368,-0.51%,-3.13%,-15.16%,8.38%,-1.42%,-30.46%,,,56552,59957,41163,57183,79154,-1.10%,4.85%,-28.01%,-28.55%,-24.25%,-48.00%,-27.76%,1.0,₹350,18,20,20,
533229,Bajaj Consumer Care Ltd,2006,"₹3,084 Cr",Small Cap,Consumer Defensive,Personal & Household Products & Services,₹225,1.19%,₹152,₹289,47.84%,-22.19%,₹235,₹207,₹191,1.19%,-1.23%,-3.77%,34.92%,19.49%,-16.28%,39.32%,23.20%,23407,34746,79960,98426,69010,-76.22%,-64.70%,-18.76%,-66.08%,-49.65%,15.87%,42.63%,0.2,₹222,25,9,9,
HAL,Hindustan Aeronautics Ltd,1963,"₹306,082 Cr",Mega Cap,Industrials,Aerospace & Defense,"₹4,575",0.82%,"₹3,046","₹5,165",50.19%,-11.42%,"₹4,714","₹4,866","₹4,317",0.82%,1.71%,-8.73%,3.44%,22.66%,1.34%,323.76%,863.71%,776247,733163,923755,1902952,2079031,-59.21%,-61.47%,-51.46%,-62.66%,-64.74%,-55.57%,-8.47%,0.4,"₹4,538",37,125,125,
500097,Dalmia Bharat Sugar and Industries Ltd,1951,"₹2,984 Cr",Small Cap,Consumer Defensive,Food & Tobacco,₹369,-2.65%,₹291,₹582,26.68%,-36.68%,₹388,₹407,₹389,-2.65%,-2.06%,-5.78%,0.24%,5.47%,-3.95%,9.06%,190.84%,3540,8587,8991,10318,10474,-65.69%,-16.78%,-12.86%,-66.20%,-18.02%,-14.15%,-1.49%,0.3,₹379,8,48,48,
EKC,Everest Kanto Cylinder Ltd,1978,"₹1,499 Cr",Small Cap,Industrials,"Machinery, Equipment & Components",₹134,2.13%,₹103,₹232,29.71%,-42.31%,₹135,₹134,₹150,2.13%,1.43%,-5.55%,16.76%,-15.58%,-15.15%,-23.17%,514.25%,382332,252307,350789,450732,441028,-15.18%,-44.02%,-22.17%,-13.31%,-42.79%,-20.46%,2.20%,0.8,₹131,15,9,9,
513519,Pitti Engineering Ltd,1983,"₹3,417 Cr",Small Cap,Industrials,"Machinery, Equipment & Components",₹915,-0.99%,₹835,"₹1,511",9.53%,-39.49%,₹962,₹978,"₹1,098",-0.99%,-3.16%,-4.96%,0.25%,-15.16%,-19.10%,152.30%,2938.54%,634,2456,6973,4761,5614,-86.68%,-48.42%,46.45%,-88.71%,-56.26%,24.21%,-15.19%,0.1,₹924,27,33,33,
500405,Supreme Petrochem Ltd,1989,"₹15,475 Cr",Mid Cap,Basic Materials,Chemicals,₹822,0.81%,₹518,₹923,58.72%,-10.96%,₹810,₹795,₹694,0.81%,3.59%,0.59%,25.65%,30.66%,3.75%,99.87%,807.26%,1539,4709,1984,4203,6471,-63.38%,12.03%,-52.79%,-76.22%,-27.23%,-69.34%,-35.05%,0.4,₹816,44,19,19,
500110,Chennai Petroleum Corporation Ltd,1965,"₹9,542 Cr",Mid Cap,Energy,Oil & Gas,₹641,-1.28%,₹433,"₹1,039",47.88%,-38.34%,₹729,₹696,₹617,-1.28%,-9.10%,-13.24%,6.00%,21.66%,-29.37%,142.56%,665.35%,49295,61783,132257,139175,133657,-64.58%,-55.61%,-4.97%,-63.12%,-53.78%,-1.05%,4.13%,0.4,₹649,,-12,-12,
500620,Great Eastern Shipping Company Ltd,1948,"₹13,189 Cr",Mid Cap,Energy,Oil & Gas Related Equipment and Services,₹924,-0.55%,₹797,"₹1,418",15.95%,-34.81%,₹977,₹978,₹971,-0.55%,-3.48%,-9.60%,6.97%,-1.36%,-28.43%,77.83%,239.06%,5411,14114,16718,45915,33587,-88.22%,-69.26%,-63.59%,-83.89%,-57.98%,-50.23%,36.71%,0.1,₹930,6,142,164,-13.06%
PETRONET,Petronet LNG Ltd,1998,"₹41,535 Cr",Large Cap,Energy,Oil & Gas Related Equipment and Services,₹277,-1.84%,₹270,₹384,2.71%,-27.93%,₹300,₹302,₹311,-1.84%,-5.62%,-9.95%,-9.32%,-10.08%,-22.40%,31.45%,13.25%,1385233,1331759,2613525,2395756,2312172,-42.18%,-44.41%,9.09%,-40.09%,-42.40%,13.03%,3.61%,0.6,₹282,11,25,26,-6.65%
522261,Dolphin Offshore Enterprises (India) Ltd,1979,"₹1,618 Cr",Small Cap,Energy,Oil & Gas Related Equipment and Services,₹407,-1.08%,₹200,₹753,103.70%,-45.90%,₹445,₹420,₹417,-1.08%,-4.55%,-10.24%,-1.36%,20.09%,-37.69%,,,1998,985,1266,2244,45765,-10.97%,-56.11%,-43.60%,-95.63%,-97.85%,-97.23%,-95.10%,0.9,₹412,39,10,10,
OIL,Oil India Ltd,1959,"₹70,518 Cr",Large Cap,Energy,Oil & Gas,₹431,0.52%,₹325,₹768,32.65%,-43.86%,₹442,₹444,₹432,0.52%,-2.18%,-2.16%,8.09%,6.33%,-24.54%,226.67%,581.80%,2288242,1832495,1761026,3685619,3388030,-37.91%,-50.28%,-52.22%,-32.46%,-45.91%,-48.02%,8.78%,0.6,₹429,11,40,40,
GMDCLTD,Gujarat Mineral Development Corpn Ltd,1963,"₹13,089 Cr",Mid Cap,Energy,Coal,₹411,0.48%,₹227,₹472,81.16%,-13.10%,₹407,₹400,₹334,0.48%,-0.15%,3.43%,36.76%,29.50%,12.07%,147.59%,896.36%,3123510,6949883,6971994,3968899,2719697,-21.30%,75.11%,75.67%,14.85%,155.54%,156.35%,45.93%,0.8,₹409,20,21,21,
IOC,Indian Oil Corporation Ltd,1959,"₹199,632 Cr",Large Cap,Energy,Oil & Gas,₹141,-0.76%,₹111,₹184,27.62%,-23.21%,₹149,₹146,₹137,-0.76%,-4.49%,-8.10%,0.22%,13.53%,-15.39%,92.64%,145.31%,11034758,9894505,9777009,12021670,13706598,-8.21%,-17.69%,-18.67%,-19.49%,-27.81%,-28.67%,-12.29%,0.9,₹142,14,10,10,
ONGC,Oil and Natural Gas Corporation Ltd,1993,"₹294,995 Cr",Mega Cap,Energy,Oil & Gas,₹234,-0.23%,₹205,₹345,14.29%,-32.09%,₹242,₹244,₹246,-0.23%,-2.96%,-2.99%,0.46%,-7.79%,-23.46%,71.65%,197.90%,9562689,11477778,8155598,11708678,11991484,-18.33%,-1.97%,-30.35%,-20.25%,-4.28%,-31.99%,-2.36%,0.8,₹235,8,29,29,
DEEPINDS,Deep Industries Ltd,2006,"₹3,398 Cr",Small Cap,Energy,Oil & Gas Related Equipment and Services,₹531,2.29%,₹298,₹624,78.40%,-14.96%,₹468,₹447,₹489,2.29%,19.68%,20.86%,33.23%,-2.07%,77.38%,452.55%,,1914090,1126701,369870,231349,218109,727.36%,387.01%,59.88%,777.58%,416.58%,69.58%,6.07%,8.3,₹519,,-14,-14,
CIPLA,Cipla Ltd,1935,"₹120,864 Cr",Large Cap,Healthcare,Pharmaceuticals,"₹1,496",-1.24%,"₹1,335","₹1,702",12.08%,-12.09%,"₹1,503","₹1,500","₹1,487",-1.24%,-4.94%,-0.94%,0.64%,3.26%,-2.32%,45.34%,105.35%,1156528,1532716,1736534,1693667,1590090,-31.71%,-9.50%,2.53%,-27.27%,-3.61%,9.21%,6.51%,0.7,"₹1,515",22,67,67,
500124,Dr Reddy's Laboratories Ltd,1984,"₹1,169 Cr",Small Cap,Healthcare,Pharmaceuticals,"₹1,215",-0.86%,"₹1,026","₹1,420",18.42%,-14.46%,"₹1,262","₹1,286","₹1,238",-0.86%,-6.55%,-7.26%,5.76%,-0.39%,-10.76%,43.93%,32.88%,40211,72299,69251,69241,83192,-41.93%,4.42%,0.01%,-51.67%,-13.09%,-16.76%,-16.77%,0.6,"₹1,225",18,68,68,
ZYDUSLIFE,Zydus Lifesciences Ltd,1995,"₹96,774 Cr",Large Cap,Healthcare,Pharmaceuticals,₹962,0.30%,₹795,"₹1,324",20.97%,-27.38%,₹972,₹968,₹942,0.30%,-3.33%,-3.71%,10.08%,-1.26%,-21.66%,166.63%,146.03%,479835,869741,860766,988930,1229333,-51.48%,-12.05%,-12.96%,-60.97%,-29.25%,-29.98%,-19.56%,0.5,₹959,21,45,45,
AUROPHARMA,Aurobindo Pharma Ltd,1986,"₹62,686 Cr",Large Cap,Healthcare,Pharmaceuticals,"₹1,079",-1.02%,"₹1,010","₹1,592",6.86%,-32.20%,"₹1,129","₹1,137","₹1,184",-1.02%,-6.80%,-8.93%,-6.76%,-7.85%,-23.00%,90.07%,19.07%,2733423,2327702,1203052,1196452,1210465,128.46%,94.55%,0.55%,125.82%,92.30%,-0.61%,-1.16%,2.3,"₹1,090",18,60,60,
GLAND,Gland Pharma Ltd,1978,"₹32,318 Cr",Large Cap,Healthcare,Pharmaceuticals,"₹1,958",-1.25%,"₹1,278","₹2,221",53.23%,-11.84%,"₹1,976","₹1,822","₹1,670",-1.50%,-6.86%,4.44%,38.32%,34.24%,-7.07%,-15.91%,,148493,252211,462842,291696,308059,-49.09%,-13.54%,58.67%,-51.80%,-18.13%,50.24%,-5.31%,0.5,"₹1,983",46,42,42,
PFIZER,Pfizer Ltd,1950,"₹23,295 Cr",Large Cap,Healthcare,Pharmaceuticals,"₹5,092",1.66%,"₹3,701","₹6,451",37.58%,-21.07%,"₹5,341","₹5,553","₹4,882",1.66%,-3.51%,-12.75%,19.45%,15.05%,-12.10%,22.02%,16.16%,18084,17552,29465,60869,55726,-70.29%,-71.16%,-51.59%,-67.55%,-68.50%,-47.12%,9.23%,0.3,"₹5,009",30,168,168,
500674,Sanofi India Ltd,1956,"₹12,494 Cr",Mid Cap,Healthcare,Pharmaceuticals,"₹5,429",0.27%,"₹4,146","₹7,594",30.94%,-28.51%,"₹5,873","₹6,032","₹5,933",0.27%,-6.72%,-9.49%,-5.66%,-0.40%,-16.41%,50.56%,20.02%,1143,1375,542,559,1274,104.45%,145.99%,-2.98%,-10.30%,7.92%,-57.43%,-56.13%,2.0,"₹5,414",34,157,172,-8.50%
ERIS,Eris Lifesciences Ltd,2007,"₹24,573 Cr",Large Cap,Healthcare,Pharmaceuticals,"₹1,804",0.06%,"₹1,051","₹1,910",71.65%,-5.54%,"₹1,772","₹1,713","₹1,454",0.06%,0.67%,4.04%,23.10%,46.45%,63.00%,158.75%,236.90%,307995,159758,109256,248903,215251,23.74%,-35.82%,-56.10%,43.09%,-25.78%,-49.24%,15.63%,1.2,"₹1,803",70,26,26,
530019,Jubilant Pharmova Ltd,1978,"₹17,740 Cr",Mid Cap,Healthcare,Pharmaceuticals,"₹1,118",-2.65%,₹814,"₹1,309",37.35%,-14.60%,"₹1,183","₹1,166","₹1,045",-2.65%,-3.17%,-6.42%,27.18%,17.14%,31.60%,221.51%,78.08%,11100,23821,14263,16929,14908,-34.43%,40.71%,-15.75%,-25.54%,59.79%,-4.33%,13.55%,0.7,"₹1,148",39,29,53,-45.18%
524348,Aarti Drugs Ltd,1984,"₹4,399 Cr",Small Cap,Healthcare,Pharmaceuticals,₹481,-2.35%,₹313,₹635,54.03%,-24.18%,₹512,₹482,₹430,-2.35%,-10.67%,-1.97%,15.28%,16.02%,-3.71%,13.30%,-18.19%,27619,26615,56982,37467,33109,-26.28%,-28.97%,52.09%,-16.58%,-19.62%,72.11%,13.16%,0.7,₹493,23,21,21,
MARKSANS,Marksans Pharma Ltd,1992,"₹10,180 Cr",Mid Cap,Healthcare,Pharmaceuticals,₹225,-0.73%,₹171,₹359,31.37%,-37.37%,₹243,₹250,₹255,-0.73%,-1.25%,-12.72%,-0.77%,-8.27%,18.67%,351.10%,386.78%,646773,1371281,1473612,1346173,1419382,-51.95%,1.87%,9.47%,-54.43%,-3.39%,3.82%,-5.16%,0.5,₹226,27,8,8,
STAR,Strides Pharma Science Ltd,1990,"₹7,563 Cr",Mid Cap,Healthcare,Pharmaceuticals,₹823,-1.82%,₹492,₹972,67.19%,-15.33%,₹891,₹859,₹821,-1.82%,-13.37%,-5.18%,29.56%,19.55%,-22.75%,141.35%,57.12%,206065,597146,543912,672063,595524,-69.34%,-11.15%,-19.07%,-65.40%,0.27%,-8.67%,12.85%,0.3,₹838,21,39,44,-10.53%
AARTIPHARM,Aarti Pharmalabs Ltd,2019,"₹7,904 Cr",Mid Cap,Healthcare,Pharmaceuticals,₹873,-1.74%,₹557,₹971,56.72%,-10.09%,₹927,₹906,₹752,-1.74%,-6.86%,-2.90%,17.20%,40.13%,46.51%,,,140136,228797,266410,365315,548546,-61.64%,-37.37%,-27.07%,-74.45%,-58.29%,-51.43%,-33.40%,0.4,₹888,29,30,30,
524735,Hikal Ltd,1988,"₹3,899 Cr",Small Cap,Healthcare,Pharmaceuticals,₹312,-0.91%,₹309,₹465,0.69%,-32.92%,₹336,₹354,₹378,-0.91%,-4.05%,-8.81%,-18.11%,-10.59%,-0.43%,18.75%,125.39%,5392,22727,20392,25938,29022,-79.21%,-12.38%,-21.38%,-81.42%,-21.69%,-29.74%,-10.63%,0.2,₹314,77,4,4,
WOCKPHARMA,Wockhardt Ltd,1999,"₹25,213 Cr",Large Cap,Healthcare,Pharmaceuticals,"₹1,540",-2.41%,₹840,"₹1,869",83.35%,-17.59%,"₹1,709","₹1,662","₹1,442",-2.41%,-9.26%,-9.59%,24.68%,-5.54%,81.66%,559.57%,440.16%,357929,375068,688667,915999,709628,-60.92%,-59.05%,-24.82%,-49.56%,-47.15%,-2.95%,29.08%,0.4,"₹1,578",,-3,-3,
INDOCO,Indoco Remedies Ltd,1947,"₹2,756 Cr",Small Cap,Healthcare,Pharmaceuticals,₹299,-1.16%,₹190,₹388,57.37%,-22.85%,₹320,₹301,₹283,-1.16%,-6.43%,-9.27%,24.26%,13.43%,-5.62%,-24.32%,22.64%,27748,43575,131796,95686,96646,-71.00%,-54.46%,37.74%,-71.29%,-54.91%,36.37%,-0.99%,0.3,₹303,,-13,-13,
DCAL,Dishman Carbogen Amcis Ltd,2007,"₹3,877 Cr",Small Cap,Healthcare,Pharmaceuticals,₹247,-1.26%,₹161,₹308,53.28%,-19.77%,₹255,₹259,₹238,-1.26%,-2.41%,-7.11%,33.72%,0.91%,33.87%,101.14%,24.77%,31551,85152,88000,436945,395573,-92.78%,-80.51%,-79.86%,-92.02%,-78.47%,-77.75%,10.46%,0.1,₹250,1177,0,0,
SUPRIYA,Supriya Lifescience Ltd,2008,"₹5,308 Cr",Mid Cap,Healthcare,Pharmaceuticals,₹660,-2.06%,₹384,₹842,71.70%,-21.67%,₹691,₹696,₹698,-2.06%,-2.03%,-7.60%,3.35%,-13.59%,70.22%,89.43%,,106843,166311,209407,251541,296472,-57.52%,-33.88%,-16.75%,-63.96%,-43.90%,-29.37%,-15.16%,0.4,₹673,28,23,23,
512529,SeQuent Scientific Ltd,1985,"₹4,476 Cr",Small Cap,Healthcare,Pharmaceuticals,₹180,4.05%,₹111,₹241,62.07%,-25.32%,₹182,₹187,₹173,4.05%,1.58%,-1.96%,15.88%,9.96%,37.12%,44.15%,26.51%,76799,25022,35093,70974,59085,8.21%,-64.75%,-50.56%,29.98%,-57.65%,-40.61%,20.12%,1.1,₹173,211,1,1,
500672,Novartis India Ltd,1947,"₹2,330 Cr",Small Cap,Healthcare,Pharmaceuticals,₹944,-2.69%,₹745,"₹1,248",26.67%,-24.39%,"₹1,031","₹1,026",₹929,-2.69%,-5.33%,-9.19%,18.34%,10.54%,-17.62%,31.23%,47.71%,5572,6522,11220,14013,13498,-60.24%,-53.46%,-19.93%,-58.72%,-51.69%,-16.88%,3.81%,0.4,₹970,23,42,41,1.88%
507747,TTK Healthcare Ltd,1958,"₹1,662 Cr",Small Cap,Healthcare,Pharmaceuticals,"₹1,171",-3.67%,₹991,"₹1,923",18.18%,-39.10%,"₹1,307","₹1,288","₹1,307",-3.67%,-6.26%,-11.89%,0.61%,-6.71%,-24.69%,36.15%,148.43%,395,418,303,289,254,36.89%,44.77%,5.15%,55.72%,64.68%,19.62%,13.75%,1.4,"₹1,216",32,43,43,
530199,Themis Medicare Ltd,1969,₹931 Cr,Small Cap,Healthcare,Pharmaceuticals,₹101,-1.66%,₹101,₹314,0.20%,-67.80%,₹118,₹129,₹189,-1.66%,-10.30%,-19.71%,-18.42%,-54.72%,-56.38%,23.93%,158.18%,8852,12213,18164,18264,16449,-51.53%,-33.13%,-0.54%,-46.18%,-25.75%,10.43%,11.03%,0.5,₹103,31,3,3,
SOLARA,Solara Active Pharma Sciences Ltd,2017,"₹2,663 Cr",Small Cap,Healthcare,Pharmaceuticals,₹600,-2.61%,₹443,₹883,35.50%,-32.03%,₹655,₹587,₹600,-2.61%,-7.00%,-5.14%,19.81%,12.73%,-3.63%,79.64%,-25.34%,91762,125420,186558,241943,177586,-62.07%,-48.16%,-22.89%,-48.33%,-29.37%,5.05%,36.24%,0.4,₹616,104,6,0,4028.57%
524394,Vimta Labs Ltd,1990,"₹2,957 Cr",Small Cap,Healthcare,Biotechnology & Medical Research,₹659,1.48%,₹235,₹729,180.57%,-9.55%,₹546,₹504,₹477,1.48%,-7.32%,43.15%,35.56%,56.58%,166.32%,243.63%,907.41%,530925,2120660,981225,334848,183598,58.56%,533.32%,193.04%,189.18%,1055.06%,434.44%,82.38%,1.6,₹650,40,16,16,
